car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_km
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,10.518700218288165
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,10.757924157061597
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,11.156264806643742
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,10.12667110305036
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,10.165890277802454
Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,10.308985993422082
Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,9.61587214452889
Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,11.982935344196433
Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,10.376642461280849
Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,9.99884318585288
Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,10.691967639914864
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,11.264476926102367
Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,10.518700218288165
Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,11.141876276228
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,9.402694764470512
Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,10.859018228147887
Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,11.695255355062795
Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,10.915106645867503
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,11.982935344196433
Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,10.596659732783579
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,10.736418414365376
Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,10.12667110305036
Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,11.407576060361786
Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,10.811080568707087
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,9.546884034617925
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,9.305741456739435
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,8.517393171418904
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,10.915106645867503
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,11.082157933374816
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,9.99884318585288
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,8.945332616563274
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,11.097425172408931
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,10.717900585587556
Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,10.12667110305036
Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,11.695255355062795
Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,10.239995502805316
Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,10.915106645867503
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,9.546884034617925
Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,11.500660557550157
Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,10.968215530759236
Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,10.308985993422082
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,10.74507628970625
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,10.376985071036119
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,10.463131911491967
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,10.308985993422082
Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,9.210440366976517
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,10.12667110305036
Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,11.532737896139919
Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,10.463131911491967
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,10.818757763856276
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,10.915106645867503
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,10.491301994830229
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,10.812270168919962
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,10.463131911491967
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,11.461642696843066
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,10.491301994830229
Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,10.819798284210286
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,10.184937747111391
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,11.289794413577894
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,10.736418414365376
Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,9.105090961257085
Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,10.87806606028079
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,10.819798284210286
Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000,10.859018228147887
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000,10.463131911491967
Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000,10.778977123006351
Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000,9.798182590890704
Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000,10.958043455007317
Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,10.308985993422082
Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,10.915106645867503
Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,9.210440366976517
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000,8.987321812850125
Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,11.082157933374816
Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,10.12667110305036
Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,11.156264806643742
Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000,9.15915233520675
Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,9.116139576577355
Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,11.362114203075018
Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000,11.264476926102367
Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,11.002116507732017
Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000,8.97259066827261
Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,10.823889820449997
Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000,12.301387370778713
Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000,10.968215530759236
Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,12.04355959836804
Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,9.61587214452889
Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,11.173893956204092
Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000,8.853808274977197
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000,9.90353755128617
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000,9.071193240566025
Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,10.12667110305036
Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,10.645448706505872
Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000,11.695255355062795
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,10.819798284210286
Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000,10.968215530759236
Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,10.491301994830229
Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,10.308985993422082
Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,12.000455849364968
Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,8.922791623969637
Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000,10.762742216027
Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,11.211833885608513
Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000,10.757924157061597
Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,10.819798284210286
Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,11.51293546492023
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000,10.463131911491967
Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000,10.819798284210286
Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000,9.210440366976517
Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000,9.246768728589734
Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000,11.034905792929415
Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,10.596659732783579
Maruti Swift,Maruti,Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000,11.002116507732017
Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000,11.115904603644728
Honda City,Honda,City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000,11.050905878263567
Honda City,Honda,City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000,10.915106645867503
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000,9.305741456739435
Renault KWID,Renault,KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000,9.741027444837728
Maruti Alto,Maruti,Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000,10.12667110305036
Datsun GO,Datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000,10.414843035901725
Hyundai Grand,Hyundai,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000,11.034905792929415
Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000,10.985309671896763
Honda City,Honda,City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000,11.363427278823627
Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000,9.210440366976517
Maruti Wagon R,Maruti,Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000,11.435374649951669
Maruti Ciaz,Maruti,Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000,10.227236331024303
Maruti Alto,Maruti,Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000,10.741665380134448
Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000,8.699681400989514
Hyundai i20,Hyundai,i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000,11.06665398721974
Mahindra Scorpio,Mahindra,Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000,11.440365524765756
Maruti Alto,Maruti,Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000,10.173552856959743
Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000,10.12667110305036
Hyundai Santro,Hyundai,Santro,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000,11.289794413577894
Mahindra Scorpio,Mahindra,Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000,11.608244735642321
Honda City,Honda,City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,10.12667110305036
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000,10.491301994830229
Maruti Swift Dzire,Maruti,Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000,10.596659732783579
Mahindra Thar,Mahindra,Thar,3,25000,Individual,Diesel,Manual,16.55,2498,105.0,6,870000,10.12667110305036
Renault KWID,Renault,KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000,10.310251816375912
Tata Tiago,Tata,Tiago,4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,370000,10.87806606028079
Maruti Swift,Maruti,Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000,8.517393171418904
Renault KWID,Renault,KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000,10.463131911491967
Ford Ecosport,Ford,Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000,11.034905792929415
Ford Aspire,Ford,Aspire,6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,390000,10.645448706505872
Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000,11.289794413577894
Mahindra XUV500,Mahindra,XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000,11.002116507732017
Hyundai Verna,Hyundai,Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000,10.714439990727769
Mahindra XUV500,Mahindra,XUV500,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000,10.819798284210286
Maruti Alto,Maruti,Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000,9.392745258631441
Honda City,Honda,City,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000,9.392745258631441
Maruti Vitara,Maruti,Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000,9.61587214452889
Volkswagen Polo,Volkswagen,Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000,11.050905878263567
Tata Hexa,Tata,Hexa,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000,10.308985993422082
Ford Figo,Ford,Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000,11.987922854613139
Hyundai Verna,Hyundai,Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000,11.695255355062795
Ford Ecosport,Ford,Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000,11.267638548970329
Hyundai Verna,Hyundai,Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000,11.635151947212842
Hyundai i20,Hyundai,i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000,10.859018228147887
Toyota Innova,Toyota,Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000,11.599112335481124
Hyundai Grand,Hyundai,Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000,11.407576060361786
Volkswagen Polo,Volkswagen,Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000,11.49273296168228
Hyundai i20,Hyundai,i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000,9.90353755128617
Maruti Wagon R,Maruti,Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000,9.985896688776846
Renault Duster,Renault,Duster,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000,10.596659732783579
Honda City,Honda,City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000,10.819798284210286
Renault Duster,Renault,Duster,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000,11.407576060361786
Maruti Swift,Maruti,Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000,10.235557255067516
