car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,log_km,engine_per_seat
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,13.26212705890841,14.375,10.596659732783579,239.4
Volkswagen Vento,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,12.959846800844963,9.042553191489361,10.757924157061597,319.6
Maruti Alto,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,12.345838935721968,9.2,10.12667110305036,199.6
Hyundai Creta,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,14.018452218287162,81.66666666666667,9.61587214452889,316.4
Honda City,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,13.527829818844937,15.0,10.819798284210286,299.4
Mahindra Bolero,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000,12.765691290604371,14.0,10.12667110305036,360.42857142857144
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,13.304686600863562,6.666666666666667,11.407576060361786,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,12.873904582205107,8.666666666666666,10.714439990727769,249.6
Honda City,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,11.884495917930655,1.8769497624687714,11.254853973354733,299.4
Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,13.45883704259595,28.0,10.12667110305036,239.4
Renault KWID,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000,12.73670383776449,11.333333333333334,10.308985993422082,199.8
Honda Amaze,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,13.049794835104816,11.627034731077938,10.596484721844948,239.8
Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,11.736077016252437,1.5625,11.289794413577894,217.2
Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,13.304686600863562,3.2432432432432434,12.128116509451258,311.2857142857143
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,12.847929163278053,4.222222222222222,11.407576060361786,249.6
Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,13.652992804936396,56.666666666666664,9.61587214452889,279.2
Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,13.301347705172173,14.95,10.596659732783579,239.4
Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,13.45883704259595,22.450288646568314,10.347564213938401,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,12.923914877701906,7.321428571428571,10.933124826700707,249.6
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,13.28787951079572,11.253743300207908,10.867196078739436,239.4
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,13.652992804936396,21.25,10.596659732783579,214.0
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,13.217675375388819,32.35294117647059,9.741027444837728,239.6
Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,13.345508528717259,28.40909090909091,9.99884318585288,318.0
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,13.304686600863562,11.11111111111111,10.896757843893464,239.4
Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,13.005831808336863,44.5,9.210440366976517,199.6
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,13.180634172318978,26.5,9.90353755128617,239.4
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,12.923914877701906,7.701410673028157,10.882527706063392,199.6
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,12.765691290604371,12.83791218868063,10.213322429629041,199.8
Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,13.161586013632684,4.7272727272727275,11.608244735642321,316.4
Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,13.527829818844937,10.714285714285714,11.156264806643742,279.2
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,13.235693848424024,8.0,11.156264806643742,249.6
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,13.39239204133378,16.794871794871796,10.571342565808699,239.4
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,11.736077016252437,2.232142857142857,10.933124826700707,217.2
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,16.176470588235293,10.434145214930487,239.4
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,13.955273369904273,23.0,10.819798284210286,285.2857142857143
Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,13.122365377402328,6.459948320413437,11.256754979390998,319.6
Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,13.805461232211272,27.5,10.491301994830229,213.85714285714286
Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,13.219491903015438,11.508897986465035,10.776390501067295,298.6
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,12.765691290604371,4.666666666666667,11.225256725762893,224.0
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,13.122365377402328,8.620689655172415,10.968215530759236,239.2
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,13.26212705890841,19.166666666666668,10.308985993422082,239.4
Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,13.208542908506082,10.9,10.819798284210286,237.2
Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,13.171155446333852,27.496988425077255,9.857129428557979,239.2
Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,12.899222326086994,8.0,10.819798284210286,239.6
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,11.951186847493476,4.1891891891891895,10.518700218288165,212.2
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,13.208542908506082,11.595744680851064,10.757924157061597,249.6
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,13.208542908506082,7.785714285714286,11.156264806643742,299.4
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,12.388398368982115,9.6,10.12667110305036,159.8
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,13.493928313146206,27.884615384615383,10.165890277802454,249.6
Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,13.081543466215237,16.0,10.308985993422082,239.2
Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,12.834683971615659,25.0,9.61587214452889,239.4
Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,12.323860125621126,1.40625,11.982935344196433,249.6
Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,12.899222326086994,12.461059190031152,10.376642461280849,239.8
Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,13.217675375388819,25.0,9.99884318585288,239.4
Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,13.864301674514206,23.863636363636363,10.691967639914864,311.2857142857143
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,13.017005083966255,5.769230769230769,11.264476926102367,239.6
Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,12.765691290604371,9.45945945945946,10.518700218288165,199.6
Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,13.217675375388819,7.971014492753623,11.141876276228,299.6
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,13.8924725250259,89.10891089108911,9.402694764470512,299.4
Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,13.26212705890841,11.057692307692308,10.859018228147887,239.4
Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,13.76421831620775,7.916666666666667,11.695255355062795,311.75
Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,12.345838935721968,4.181818181818182,10.915106645867503,159.2
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,12.506180941677357,1.6875,11.982935344196433,279.2
Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,11.775297421715827,3.25,10.596659732783579,239.2
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,12.821260987319457,8.043478260869565,10.736418414365376,239.4
Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,13.25339339419516,22.8,10.12667110305036,239.4
Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,12.807655372286902,4.055555555555555,11.407576060361786,239.8
Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,12.54254845357358,5.6490336117499895,10.811080568707087,239.4
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,89.28571428571429,9.546884034617925,316.4
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,13.28787951079572,53.63636363636363,9.305741456739435,239.4
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,13.07107218827772,95.0,8.517393171418904,199.6
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,13.437175577097312,12.454545454545455,10.915106645867503,299.6
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,12.847929163278053,5.846153846153846,11.082157933374816,316.4
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,12.706850963741102,15.0,9.99884318585288,199.8
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,13.384729180332174,84.73471516099596,8.945332616563274,239.4
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,12.691583538230217,4.924242424242424,11.097425172408931,199.6
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,13.369225017834633,14.173088847550714,10.717900585587556,239.4
Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,13.76316513133229,37.96,10.12667110305036,199.6
Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,13.399996629152975,5.5,11.695255355062795,316.4
Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,12.983103608918753,15.535714285714286,10.239995502805316,239.4
Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,12.861001210669146,7.0,10.915106645867503,279.2
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,89.28571428571429,9.546884034617925,316.4
Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,11.951186847493476,1.5691435513261793,11.500660557550157,199.6
Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,12.936036208848487,7.155172413793103,10.968215530759236,249.6
Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,12.433212202169729,8.366666666666667,10.308985993422082,199.6
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,13.955273369904273,24.78448275862069,10.74507628970625,311.2857142857143
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,12.644330802262578,9.654012643642366,10.376985071036119,217.2
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,12.765691290604371,10.0,10.463131911491967,171.14285714285714
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,13.933294482509151,37.5,10.308985993422082,285.2857142857143
Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,13.081543466215237,48.0,9.210440366976517,171.14285714285714
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,13.652992804936396,34.0,10.12667110305036,249.6
Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,13.910821646859095,10.784313725490197,11.532737896139919,316.4
Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,13.26212705890841,16.428571428571427,10.463131911491967,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,12.73670383776449,6.8070793625370385,10.818757763856276,259.6
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,13.73755009757506,16.818181818181817,10.915106645867503,299.6
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,12.899222326086994,11.11111111111111,10.491301994830229,239.4
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,13.493928313146206,14.6095717884131,10.812270168919962,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,13.304686600863562,17.142857142857142,10.463131911491967,249.6
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,5.7894736842105265,11.461642696843066,272.375
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,13.279368835614243,16.25,10.491301994830229,299.6
Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,12.926350926565435,8.22,10.819798284210286,199.6
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,13.017005083966255,16.9811320754717,10.184937747111391,239.4
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,14.070153551531353,16.125,11.289794413577894,399.4
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,13.02805489573287,9.891304347826088,10.736418414365376,239.6
Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,13.47302165746721,78.88888888888889,9.105090961257085,239.4
Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,13.554147092530322,14.528301886792454,10.87806606028079,299.4
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,13.487007879880162,14.4,10.819798284210286,299.6
Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000,12.834683971615659,7.211538461538462,10.859018228147887,239.6
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000,12.899222326086994,11.428571428571429,10.463131911491967,171.14285714285714
Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000,13.304686600863562,12.5,10.778977123006351,292.2
Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000,13.304686600863562,33.333333333333336,9.798182590890704,239.8
Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000,12.506180941677357,4.702767665859649,10.958043455007317,199.6
Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,13.122365377402328,16.666666666666668,10.308985993422082,239.4
Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,13.384729180332174,11.818181818181818,10.915106645867503,316.4
Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,13.399996629152975,66.0,9.210440366976517,239.4
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000,14.058457520888082,159.375,8.987321812850125,299.4
Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,13.112315061750808,7.615384615384615,11.082157933374816,249.6
Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,13.07107218827772,19.0,10.12667110305036,239.4
Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,13.180634172318978,7.571428571428571,11.156264806643742,274.6
Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000,13.180634172318978,55.78947368421053,9.15915233520675,239.8
Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,13.384729180332174,71.42857142857143,9.116139576577355,318.2
Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,12.721888795877375,3.895348837209302,11.362114203075018,299.4
Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000,14.070153551531353,16.53846153846154,11.264476926102367,393.6
Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,12.611541086966115,5.0,11.002116507732017,279.8
Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000,13.217675375388819,69.77039198274768,8.97259066827261,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,12.873904582205107,7.768150582611294,10.823889820449997,249.6
Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000,12.468440756144114,1.1818181818181819,12.301387370778713,360.42857142857144
Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000,12.886643575525625,6.810344827586207,10.968215530759236,209.4
Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,3.235294117647059,12.04355959836804,272.375
Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,13.384729180332174,43.333333333333336,9.61587214452889,239.4
Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,12.834683971615659,5.263527265071233,11.173893956204092,249.6
Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000,14.077875591662238,185.71428571428572,8.853808274977197,270.6
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000,12.793862088206213,18.0,9.90353755128617,199.6
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000,13.132315688453556,58.04597701149425,9.071193240566025,199.6
Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,12.644330802262578,12.4,10.12667110305036,159.2
Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,13.208542908506082,12.976190476190476,10.645448706505872,239.4
Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000,11.918397239722838,1.25,11.695255355062795,360.42857142857144
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,13.270785106659046,11.6,10.819798284210286,239.4
Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000,12.429220196836383,4.310344827586207,10.968215530759236,199.6
Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,13.384729180332174,18.055555555555557,10.491301994830229,279.2
Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,12.923914877701906,13.666666666666666,10.308985993422082,178.28571428571428
Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,13.182519183461475,3.2611098828211365,12.000455849364968,299.6
Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,13.698977865303197,118.66666666666667,8.922791623969637,299.6
Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000,13.560619598657233,16.410104389438246,10.762742216027,311.2857142857143
Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,12.128116509451258,2.5,11.211833885608513,279.8
Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000,12.994532278619134,9.361702127659575,10.757924157061597,360.42857142857144
Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,13.017005083966255,9.0,10.819798284210286,239.4
Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,6.0,11.51293546492023,239.4
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000,12.676079399771027,9.142857142857142,10.463131911491967,199.6
Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000,13.45883704259595,14.0,10.819798284210286,279.2
Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000,13.353476685668044,63.0,9.210440366976517,239.2
Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000,12.676079399771027,30.85824493731919,9.246768728589734,159.2
Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000,13.049794835104816,7.5,11.034905792929415,299.4
Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,13.75,10.596659732783579,239.4
